EstNumber,Company,Street,City,State,Zip,Phone,GrantDate,Activities,DBAs
G1028,Papetti's Hygrade Egg Products Inc.,One Papetti Plaza,Elizabeth,NJ,7206,(908) 282-7900,07/27/2011,Egg Product,
G1105,"American Egg Products, LLC",375 Pierce Industrial Blvd.,Blackshear,GA,31516,(912) 449-5700,02/24/1992,Egg Product,
G1126A,Shepherds Processed Eggs,3502 West 6400 South,Spanish Fork,UT,84660,(801) 798-2593,05/15/2018,Egg Product,
G1126B,Shepherds Processed Eggs,3465 West 6400 South,Spanish Fork,UT,84660,(801) 798-2593,05/15/2018,Egg Product,
G1141,"Wabash Valley Produce, Inc.",501 S. Chestnut,Farina,IL,62838,(618) 245-3301,12/01/2017,Egg Product,
G1183 + V1183,Deb-El Food Products Inc.,2 Papetti Plaza,Elizabeth,NJ,7206,(908) 351-0330,03/08/2017,"Certification - Export, Egg Product",
G1215A + V1215,"Cargill Kitchen Solutions, Inc.",206 West Fourth Street,Monticello,MN,55362,(763) 271-5600,07/19/2013,"Egg Product, Food Inspection",
G1219,Rose Acre Farms,2143 215th Road,Guthrie Center,IA,50115,(641) 747-2407,08/27/2009,Egg Product,Guthrie Center Breaker Plant; Guthrie Center Dryer Plant; Guthrie Center Egg Farm
G1223,Siouxpreme Egg Products,321 2nd Ave. SW,Sioux Center,IA,51250,(712) 722-4787,08/18/2015,Egg Product,Sonstegard Foods Company
G1253,Cort Acres Breaker Plant,4887 E. County Rd. 800 N,Seymour,IN,47274,(812) 522-3964,05/20/1991,Egg Product,
G1256 + V1256,Newburgh Egg Corp,17 Novogrodsky Road,Woodridge,NY,12789,(845) 434-8115,02/21/2017,"Certification - Export, Egg Product",
G1264,National Food NW LLC,16900 51st Ave. NE,Arlington,WA,98223,(360) 659-6251,04/21/2010,Egg Product,Pacific Egg Products
G1349,Papetti's Hygrade Egg Products Inc.,847 North Avenue,Elizabeth.,NJ,7201,(908) 282-7900,07/20/2011,Egg Product,Michael Foods Egg Products Company
G1415,Nulaid Foods Inc.,200 W. 5th Street,Ripon,CA,95366,(209) 599-2121,07/01/1987,Egg Product,
G1450A,Wilcox Farms Inc.,40400 Harts Lake Valley Road,Roy,WA,98580,(360) 458-6966,04/13/2010,Egg Product,
G1455,M.G. Waldbaum Company,120 Tower Street,Gaylord,MN,55334,(507) 237-4600,09/15/2017,Egg Product,Michael Foods Egg Products Company
G1486,Pulaski County Breaker Plant,8596 W. 700 South,Francesville,IN,47946,(219) 335-2087,07/16/2014,Egg Product,
