EstablishmentID,EstablishmentNumber,EstablishmentName,State,ProjectCode,ProjectName,FormID,CollectionDate,SampleSource,SalmonellaSPAnalysis,SalmonellaSerotype,SalmonellaPFGEPattern,SalmonellaAlleleCode,SalmonellaAMRResistanceProfile,CampylobacterAnalysis1ml,CampylobacterAnalysis30ml,CampylobacterSpecies,CampylobacterPFGEPattern,CampylobacterAlleleCode,CampyAMRResistanceProfile
3,P40,Pilgrim's Pride Corporation,GA,HC_CPT_LBW01,"Sampling for Chicken Parts - Legs, Breasts, and  Wings",102565018,1-Oct-20,Product-Raw-Intact-Chicken,Negative,NULL,NULL,NULL,NULL,NULL,Positive,C. coli,NULL,NULL,Pan-Susceptible
8,P170,Wayne Farms,GA,HC_CPT_LBW01,"Sampling for Chicken Parts - Legs, Breasts, and  Wings",102569376,1-Oct-20,Product-Raw-Intact-Chicken,Negative,NULL,NULL,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
577,P419,"Case Farms Processing, Inc.",NC,HC_CPT_LBW01,"Sampling for Chicken Parts - Legs, Breasts, and  Wings",102567613,1-Oct-20,Product-Raw-Intact-Chicken,Negative,NULL,NULL,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
578,P510,House Of Raeford Farms,NC,HC_CPT_LBW01,"Sampling for Chicken Parts - Legs, Breasts, and  Wings",102564086,1-Oct-20,Product-Raw-Intact-Chicken,Negative,NULL,NULL,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
664,M7470+P7470,Mountaire Farms Inc. - NC Division,NC,HC_CPT_LBW01,"Sampling for Chicken Parts - Legs, Breasts, and  Wings",102567862,1-Oct-20,Product-Raw-Intact-Chicken,Negative,NULL,NULL,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
727,M17980+P17980,Pilgrim's Pride Corporation,SC,HC_CPT_LBW01,"Sampling for Chicken Parts - Legs, Breasts, and  Wings",102565961,1-Oct-20,Product-Raw-Intact-Chicken,Negative,NULL,NULL,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
1358,M17375+P17375,E.G. Food Inc.,NY,HC_CPT_LBW01,"Sampling for Chicken Parts - Legs, Breasts, and  Wings",102567576,1-Oct-20,Product-Raw-Intact-Chicken,Negative,NULL,NULL,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
1457,M19034+P19034,Berk Lombardo Packing Co.. Inc.,NY,HC_CPT_LBW01,"Sampling for Chicken Parts - Legs, Breasts, and  Wings",102566351,1-Oct-20,Product-Raw-Intact-Chicken,Negative,NULL,NULL,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
1618,M4398+P4398,"DiLuigi Foods, Inc",MA,HC_CPT_LBW01,"Sampling for Chicken Parts - Legs, Breasts, and  Wings",102569800,1-Oct-20,Product-Raw-Intact-Chicken,Negative,NULL,NULL,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
2197,P20245,"Keystone Foods, LLC",KY,HC_CPT_LBW01,"Sampling for Chicken Parts - Legs, Breasts, and  Wings",102567583,1-Oct-20,Product-Raw-Intact-Chicken,Negative,NULL,NULL,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
2264,P1249,"George's Chicken, LLC",VA,HC_CPT_LBW01,"Sampling for Chicken Parts - Legs, Breasts, and  Wings",102567104,1-Oct-20,Product-Raw-Intact-Chicken,Negative,NULL,NULL,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
2351,P7927,"AMICK FARMS, LLC",MD,HC_CPT_LBW01,"Sampling for Chicken Parts - Legs, Breasts, and  Wings",102565628,1-Oct-20,Product-Raw-Intact-Chicken,Positive,Infantis,NULL,NULL,AMP  AXO  CHL  GEN  NAL  FIS  TET (C),NULL,Negative,NULL,NULL,NULL,NULL
2702,M18743+P18743,Olympia Food Industries Inc,IL,HC_CPT_LBW01,"Sampling for Chicken Parts - Legs, Breasts, and  Wings",102569618,1-Oct-20,Product-Raw-Intact-Chicken,Negative,NULL,NULL,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
2803,M2095+P2095,"Nealey's Foods, Inc.",IL,HC_CPT_LBW01,"Sampling for Chicken Parts - Legs, Breasts, and  Wings",102564641,1-Oct-20,Product-Raw-Intact-Chicken,Negative,NULL,NULL,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
