EstablishmentID,EstablishmentNumber,EstablishmentName,State,ProjectCode,ProjectName,FormID,CollectionDate,SampleSource,SalmonellaSPAnalysis,SalmonellaSerotype,SalmonellaPFGEPattern,SalmonellaAlleleCode,SalmonellaAMRResistanceProfile,ListeriaMonocytogenesAnalysis,LmPFGEPattern,LmAlleleCode
8207,G1253,Cort Acres Breaker Plant,IN,EGG_LQ_MIC01,Egg Product Sampling - Liquid / Frozen Egg Products,102571954,1-Oct-20,"Product-Eggs-Liquid or Frozen/ Egg Whites, with or without added ingredients",Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
8208,G1486,Pulaski County Breaker Plant,IN,EGG_LQ_MIC01,Egg Product Sampling - Liquid / Frozen Egg Products,102569527,1-Oct-20,Product-Eggs-With >2% salt or sugar added-Whole Eggs,Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
12402,G31542+V31542,Texas Egg Products LLC,TX,EGG_LQ_MIC01,Egg Product Sampling - Liquid / Frozen Egg Products,102571465,1-Oct-20,Product-Eggs-With >2% salt or sugar added-Whole Eggs,Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
126705,G31548,Michael Foods Egg Products Company,IA,EGG_DY_MIC01,Egg Product Sampling - Dried Egg Products,102571910,1-Oct-20,Product-Eggs-Dried-Yellow egg products,Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
126729,G1612+V1612,Marshall Egg Products Company,MO,EGG_DY_MIC01,Egg Product Sampling - Dried Egg Products,102572558,1-Oct-20,Product-Eggs-Dried-Spray dried egg whites,Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
126739,G1455,M.G. Waldbaum Company,MN,EGG_LQ_MIC01,Egg Product Sampling - Liquid / Frozen Egg Products,102571798,1-Oct-20,Product-Eggs-Mixtures-Whole egg blends (> 2% added ingredients),Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
126729,G1612+V1612,Marshall Egg Products Company,MO,EGG_DY_MIC01,Egg Product Sampling - Dried Egg Products,102573018,2-Oct-20,Product-Eggs-Dried-Spray dried egg whites,Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
126734,G1105,"American Egg Products, LLC",GA,EGG_LQ_MIC01,Egg Product Sampling - Liquid / Frozen Egg Products,102573444,2-Oct-20,Product-Eggs-With < 2% added ingredients other than salt or sugar-Yolks,Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
126739,G1455,M.G. Waldbaum Company,MN,EGG_LQ_MIC01,Egg Product Sampling - Liquid / Frozen Egg Products,102573143,2-Oct-20,Product-Eggs-With < 2% added ingredients other than salt or sugar-Whole,Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
124266,G1264,National Food NW LLC,WA,EGG_LQ_MIC01,Egg Product Sampling - Liquid / Frozen Egg Products,102574835,5-Oct-20,Product-Eggs-Mixtures-Whole egg blends (> 2% added ingredients),Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
124269,G1349,Papetti's Hygrade Egg Products Inc.,NJ,EGG_LQ_MIC01,Egg Product Sampling - Liquid / Frozen Egg Products,102574686,5-Oct-20,"Product-Eggs-Liquid or Frozen/ Egg Whites, with or without added ingredients",Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
124269,G1349,Papetti's Hygrade Egg Products Inc.,NJ,EGG_LQ_MIC01,Egg Product Sampling - Liquid / Frozen Egg Products,102574975,5-Oct-20,Product-Eggs-With < 2% added ingredients other than salt or sugar-Whole,Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
124271,G1610,"Papetti's Hygrade Egg Products, Inc.",NJ,EGG_LQ_MIC01,Egg Product Sampling - Liquid / Frozen Egg Products,102574480,5-Oct-20,Product-Eggs-With >2% salt or sugar added-Whole Eggs,Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
126671,M1593+P1593+G1593,Echo Lake Foods,IN,EGG_LQ_MIC01,Egg Product Sampling - Liquid / Frozen Egg Products,102572569,5-Oct-20,Product-Eggs-With < 2% added ingredients other than salt or sugar-Whole,Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
126703,G21931,"Rembrandt Enterprises, Inc.",IA,EGG_LQ_MIC01,Egg Product Sampling - Liquid / Frozen Egg Products,102574415,5-Oct-20,"Product-Eggs-Liquid or Frozen/ Egg Whites, with or without added ingredients",Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
126714,G1223,Siouxpreme Egg Products,IA,EGG_DY_MIC01,Egg Product Sampling - Dried Egg Products,102571850,5-Oct-20,Product-Eggs-Dried-Yellow egg products,Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
126735,G1547,"ISE Newberry, Inc.",SC,EGG_LQ_MIC01,Egg Product Sampling - Liquid / Frozen Egg Products,102573297,5-Oct-20,Product-Eggs-With >2% salt or sugar added-Yolks,Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
6164114,G46444,Terra Companies DBA Judee's,OH,EGG_DY_MIC01,Egg Product Sampling - Dried Egg Products,102574444,5-Oct-20,Product-Eggs-Dried-Yellow egg products,Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
195,G1028,Papetti's Hygrade Egg Products Inc.,NJ,EGG_LQ_MIC01,Egg Product Sampling - Liquid / Frozen Egg Products,102574396,6-Oct-20,Product-Eggs-With >2% salt or sugar added-Yolks,Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
13832,M40437+P40437+G31544,"Blue Chip Group, Inc",UT,EGG_DY_MIC01,Egg Product Sampling - Dried Egg Products,102574581,6-Oct-20,Product-Eggs-Dried-Yellow egg products,Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
123621,G1256+V1256,Newburgh Egg Corp,NY,EGG_LQ_MIC01,Egg Product Sampling - Liquid / Frozen Egg Products,102576208,6-Oct-20,Product-Eggs-With >2% salt or sugar added-Yolks,Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
124269,G1349,Papetti's Hygrade Egg Products Inc.,NJ,EGG_LQ_MIC01,Egg Product Sampling - Liquid / Frozen Egg Products,102575975,6-Oct-20,Product-Eggs-Mixtures-Whole egg blends (> 2% added ingredients),Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
126623,G398+V398,"Henningsen Foods, Inc.",NE,EGG_DY_MIC01,Egg Product Sampling - Dried Egg Products,102576118,6-Oct-20,Product-Eggs-Dried-Spray dried egg whites,Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
126734,G1105,"American Egg Products, LLC",GA,EGG_LQ_MIC01,Egg Product Sampling - Liquid / Frozen Egg Products,102574976,6-Oct-20,Product-Eggs-With < 2% added ingredients other than salt or sugar-Yolks,Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
126734,G1105,"American Egg Products, LLC",GA,EGG_LQ_MIC01,Egg Product Sampling - Liquid / Frozen Egg Products,102575368,6-Oct-20,Product-Eggs-Mixtures-Whole egg blends (> 2% added ingredients),Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
8204,G1141,"Wabash Valley Produce, Inc.",IL,EGG_LQ_MIC01,Egg Product Sampling - Liquid / Frozen Egg Products,102575832,7-Oct-20,"Product-Eggs-Liquid or Frozen/ Egg Whites, with or without added ingredients",Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
8204,G1141,"Wabash Valley Produce, Inc.",IL,EGG_LQ_MIC01,Egg Product Sampling - Liquid / Frozen Egg Products,102575833,7-Oct-20,Product-Eggs-With >2% salt or sugar added-Yolks,Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
8204,G1141,"Wabash Valley Produce, Inc.",IL,EGG_LQ_MIC01,Egg Product Sampling - Liquid / Frozen Egg Products,102575834,7-Oct-20,Product-Eggs-Mixtures-Whole eggs with added yolks,Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
8558,G1579,"Wabash Valley Produce, Inc",IN,EGG_LQ_MIC01,Egg Product Sampling - Liquid / Frozen Egg Products,102576438,7-Oct-20,Product-Eggs-Mixtures-Whole egg blends (> 2% added ingredients),Negative,NULL,NULL,NULL,NULL,Negative,NULL,NULL
