EstablishmentID,EstablishmentNumber,EstablishmentName,State,ProjectCode,ProjectName,FormID,CollectionDate,SampleSource,EColiO157H7Analysis,EcoliPFGEPattern,EcoliAlleleCode,EcoliAMRResistanceProfile,SalmonellaSPAnalysis,SalmonellaSerotype,SalmonellaPFGEPattern,SalmonellaAlleleCode,SalmonellaAMRResistanceProfile
343,M6726+P6726,Johnson Bros Wholesale Meats I,FL,MT43,Risk-based Sampling of Raw Ground Beef or Veal Products - E.coli O157:H7 & Salmonella,102569643,1-Oct-20,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
941,M4266+P4266+V4266,Meat & Fisheries Processing Laboratory,NY,MT43,Risk-based Sampling of Raw Ground Beef or Veal Products - E.coli O157:H7 & Salmonella,102568209,1-Oct-20,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
1040,M4499+P4499+V4499,Tri-Town Packing Corporation,NY,MT43,Risk-based Sampling of Raw Ground Beef or Veal Products - E.coli O157:H7 & Salmonella,102568161,1-Oct-20,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
1202,M5402,Beef Burger Corp.,NJ,MT43,Risk-based Sampling of Raw Ground Beef or Veal Products - E.coli O157:H7 & Salmonella,102567933,1-Oct-20,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
1234,M5907+P5907,Burger Maker Inc.,NJ,MT43,Risk-based Sampling of Raw Ground Beef or Veal Products - E.coli O157:H7 & Salmonella,102565211,1-Oct-20,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
1803,M9849+P9849,"W. A. Bean & Sons, Inc.",ME,MT43,Risk-based Sampling of Raw Ground Beef or Veal Products - E.coli O157:H7 & Salmonella,102570737,1-Oct-20,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
2582,M2591+P2591+V2591,Branding Iron Holdings - Holten Meat,IL,MT43,Risk-based Sampling of Raw Ground Beef or Veal Products - E.coli O157:H7 & Salmonella,102565264,1-Oct-20,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
2632,M6961+V6961,Pohlmans Meat Processing Plant,IN,MT43,Risk-based Sampling of Raw Ground Beef or Veal Products - E.coli O157:H7 & Salmonella,102564104,1-Oct-20,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
2770,M104+P104+V104,"OSI Industries, LLC",IL,MT43,Risk-based Sampling of Raw Ground Beef or Veal Products - E.coli O157:H7 & Salmonella,102565268,1-Oct-20,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
3534,M208A,"National Beef Packing Co., L.L.C.",KS,MT43,Risk-based Sampling of Raw Ground Beef or Veal Products - E.coli O157:H7 & Salmonella,102565257,1-Oct-20,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
3585,M2320+P2320,"L & C Meat Co., Inc.",MO,MT43,Risk-based Sampling of Raw Ground Beef or Veal Products - E.coli O157:H7 & Salmonella,102566708,1-Oct-20,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
3817,M20575+P20575+V20575,Rains Natural Meats,MO,MT43,Risk-based Sampling of Raw Ground Beef or Veal Products - E.coli O157:H7 & Salmonella,102571146,1-Oct-20,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
4133,M3D,Swift Beef Company,TX,MT43,Risk-based Sampling of Raw Ground Beef or Veal Products - E.coli O157:H7 & Salmonella,102564174,1-Oct-20,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
4883,M4852,Deseret Meat,UT,MT43,Risk-based Sampling of Raw Ground Beef or Veal Products - E.coli O157:H7 & Salmonella,102571900,1-Oct-20,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
5289,M6063A,"Central Valley Meat Co., Inc.",CA,MT43,Risk-based Sampling of Raw Ground Beef or Veal Products - E.coli O157:H7 & Salmonella,102572157,1-Oct-20,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
5574,M21307+P21307+V21307,Broadleaf Inc.,CA,MT43,Risk-based Sampling of Raw Ground Beef or Veal Products - E.coli O157:H7 & Salmonella,102568712,1-Oct-20,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
5598,M550+P18178,Sterling Pacific Meat Co.,CA,MT43,Risk-based Sampling of Raw Ground Beef or Veal Products - E.coli O157:H7 & Salmonella,102566891,1-Oct-20,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
6368,M20891+P20891+V20891,Alaska Meat Packers Incorporated,AK,MT43,Risk-based Sampling of Raw Ground Beef or Veal Products - E.coli O157:H7 & Salmonella,102566486,1-Oct-20,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL
