applotnumber,country,receivedlotdate,procest,procestname,haccpcode,productcategory,species,finalweightrefused,refusalreasons,failedtoi,defect
1746944-1,CHILE,7/1/2021,608,Faenadora San Vicente Ltda.,03B,"Raw ground, comminuted, or otherwise non-intact chicken",Chicken,40,Shipping Damage,,"Torn, exposed"
1748695-2,URUGUAY,7/1/2021,2,Establecimientos Colonia S.A.,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Missing Shipping Mark
1746904-1,AUSTRALIA,7/1/2021,291,Teys Australia Southern Pty Ltd,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1742436-1,ARGENTINA,7/1/2021,2082,Arre Beef SA,03C,Raw intact beef,Beef,50,Shipping Damage,,"Crushed, blood stained"
1736187-1,VIETNAM,7/1/2021,DL500,Workshop 3 - VINH HOAN CORP,03C,Raw intact meat - other,Siluriformes - Other,30,Shipping Damage,,"Torn, exposed"
1737769-1,CHILE,7/1/2021,608,Faenadora San Vicente Ltda.,03B,"Raw ground, comminuted, or otherwise non-intact chicken",Chicken,80,Invalid Shipping Mark,,Missing Shipping Mark
1741765-1,ARGENTINA,7/1/2021,2520,Sociedad Anonima Carnes Pampeanas S.A.,03C,Raw intact beef,Beef,48,Invalid Shipping Mark,,Missing Shipping Mark
1746970-1,CHILE,7/1/2021,1307,Agroindustrial el Paico S.A.,03B,"Raw ground, comminuted, or otherwise non-intact chicken",Chicken,60,Invalid Shipping Mark,,Missing Shipping Mark
1736666-1,CHILE,7/1/2021,608,Faenadora San Vicente Ltda.,03B,"Raw ground, comminuted, or otherwise non-intact chicken",Chicken,120,Invalid Shipping Mark,,Missing Shipping Mark
1733797-1,VIETNAM,7/1/2021,DL369,Mekong Delta Food Factory - CASEAMEX,03C,Raw intact meat - other,Siluriformes - Other,15,Shipping Damage,,"Torn, exposed"
1727212-2,AUSTRALIA,7/1/2021,612,Wodonga Rendering Pty Ltd,03C,Raw intact beef,Beef,420,Shipping Damage,,"Torn, exposed"
1737223-1,UNITED KINGDOM,7/1/2021,2060,Karro Food Ltd,03C,Raw intact pork,Pork,86,Shipping Damage,,"Torn, exposed"
1745903-1,NEW ZEALAND,7/1/2021,ME17,Alliance Group Limited,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Invalid Shipping Mark,,Illegible Shipping Marks
1745903-2,NEW ZEALAND,7/1/2021,ME17,Alliance Group Limited,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Invalid Shipping Mark,,Illegible Shipping Marks
1748470-1,CHILE,7/1/2021,608,Faenadora San Vicente Ltda.,03B,"Raw ground, comminuted, or otherwise non-intact chicken",Chicken,11,Invalid Shipping Mark,,Missing Shipping Mark
1748471-1,CHILE,7/1/2021,606,Procesadora de Alimentos del Sur Limitada,03C,Raw intact pork,Pork,11,Invalid Shipping Mark,,Missing Shipping Mark
1749104-1,NEW ZEALAND,7/1/2021,ME9,Silver Fern Farms Limited - Hawera,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1749458-1,AUSTRALIA,7/1/2021,7,Tey's Australia Meat Group Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1751168-1,MEXICO,7/1/2021,505,"Sucabrito, S.A., de C.V.",03C,"Raw intact meat - other (sheep, goat)",Goat,0,Invalid Inspection Certificate,,Inspection certificate issues
